1
1
0	0	0.6	0.547875	0.182625	0.550625	1.23557	1.20292
1	0	0.6	0.677562	0.408479	0.68175	1.11663	1.18982
2	0	0.68	0.706187	0.643875	0.706375	0.968679	0.960322
3	0	0.86	0.802	0.728583	0.80675	0.805499	0.806745
4	0	0.9	0.847375	0.785187	0.848125	0.669115	0.55842
5	0	0.88	0.865937	0.838437	0.867688	0.567296	0.575623
6	0	0.94	0.901375	0.871562	0.904813	0.484042	0.418564
7	0	0.92	0.92225	0.896521	0.924688	0.407503	0.44782
8	0	0.92	0.941562	0.921729	0.9455	0.33359	0.373315
9	0	0.92	0.942187	0.935333	0.945063	0.291198	0.360607
10	0	0.92	0.948625	0.944125	0.953438	0.245117	0.285267
11	0	0.98	0.962563	0.951125	0.964312	0.20262	0.134158
12	0	0.96	0.960625	0.957271	0.963125	0.180771	0.199032
13	0	0.98	0.975937	0.966375	0.975312	0.14404	0.1336
14	0	1	0.974063	0.970208	0.97325	0.131539	0.0969479
15	0	0.96	0.977813	0.975938	0.977125	0.119208	0.106881
16	0	1	0.9805	0.977458	0.980937	0.0977851	0.0939296
17	0	1	0.982313	0.980208	0.982	0.0890238	0.0446507
18	0	0.96	0.983688	0.982167	0.983688	0.0802944	0.0912281
19	0	0.98	0.98325	0.983083	0.983813	0.0733338	0.0662317
20	0	1	0.984	0.983646	0.985	0.06633	0.0499294
21	0	0.98	0.984875	0.984042	0.985625	0.0625932	0.0458524
22	0	1	0.985438	0.984771	0.985187	0.0572895	0.0352097
23	0	0.98	0.984812	0.985042	0.985875	0.0546973	0.061212
24	0	1	0.986687	0.985646	0.986812	0.051711	0.0387252
25	0	0.98	0.988187	0.986562	0.988688	0.0487161	0.0441101
26	0	0.98	0.987188	0.987354	0.98725	0.0482718	0.0242226
27	0	1	0.990062	0.988479	0.990188	0.0417165	0.0321346
28	0	0.98	0.989563	0.988937	0.990188	0.0402587	0.0408108
29	0	1	0.988437	0.989354	0.98925	0.0481052	0.0162925
